0.53144,1,1,0.53144,0.53144,1,0.53144
1,0.77947,1,0.77947,0.77947,1,1
0.69144,1,0.69144,0.69144,1,1,1
0.5277,0.5277,1,0.65271,0.65271,0.5277,0.5277
0.3992,0.3992,0.3992,1,0.3992,1,0.3992
1,1,0.3621,0.3621,0.3621,0.3621,0.3621
0.66445,0.66445,0.66445,1,0.94266,0.94266,0.66445
0.49824,1,0.49824,1,0.49824,0.49824,0.49824
1,0.74836,1,1,0.74836,0.74836,1
0.94675,0.99256,1,0.94675,0.99256,0.94675,1
1,0.79602,1,0.79602,1,0.79602,1
0.72661,1,1,1,0.72661,0.72661,1
0.59583,0.59583,0.59583,1,0.59583,1,1
1,0.56338,0.56338,0.56338,1,1,0.56338
1,0.77947,1,0.77947,0.77947,1,1
1,1,1,0.55736,0.55736,0.55736,1
1,1,0.61744,0.61744,0.61744,1,1
1,0.76825,0.76825,1,1,0.76825,0.76825
0.59113,1,0.59113,0.59113,0.76022,0.59113,0.76022
0.56764,1,0.56764,0.56764,1,1,0.56764
0.85016,0.53144,0.85016,0.53144,0.53144,0.85016,0.53144
1,1,0.61038,1,0.61038,0.61038,0.61038
1,1,0.61744,0.61744,0.61744,1,1
1,1,0.61744,0.61744,0.61744,1,1
1,1,0.61038,0.61038,1,0.61038,0.61038
0.47403,1,1,0.47403,0.47403,1,0.47403
0.43407,0.43407,0.43407,1,1,0.43407,0.43407
1,0.59113,0.59113,0.59113,0.59113,1,1
1,0.47105,1,0.47105,0.47105,1,0.47105
0.72904,1,1,0.72904,1,0.72904,0.72904
0.62565,0.62565,0.62565,0.62565,0.79234,0.79234,1
0.62565,1,0.62565,0.62565,1,1,0.62565
1,0.55325,1,0.55325,0.55325,1,1
1,1,1,1,1,1,1
0.62565,0.62565,0.62565,0.62565,1,1,1
0.55736,0.6124,1,0.55736,0.55736,0.6124,0.6124
1,0.50293,0.50293,0.50293,1,1,0.50293
0.67039,0.99256,0.67039,1,0.99256,0.67039,0.67039
1,0.55325,1,0.55325,0.55325,1,1
0.45671,0.45671,0.45671,0.75591,0.45671,0.75591,0.75591
0.72661,0.80456,0.80456,0.72661,1,0.72661,0.80456
0.61038,1,1,0.61038,1,0.61038,0.61038
1,0.76825,0.76825,1,1,0.76825,0.76825
1,0.64725,0.64725,1,0.64725,1,0.64725
1,1,0.98725,0.98725,1,0.98725,1
0.3992,0.3992,0.3992,1,0.3992,1,0.3992
1,0.51184,0.51184,1,0.51184,0.51184,0.51184
0.63847,0.63847,1,1,1,1,0.63847
0.90124,0.99256,1,0.90124,0.99256,1,0.90124
0.94675,0.70609,0.70609,0.94675,0.70609,0.94675,1
1,1,0.6006,0.6006,1,0.6006,0.6006
1,1,1,0.76677,0.76677,1,1
1,0.84063,0.84063,1,1,0.84063,1
0.51184,0.51184,0.51184,0.51184,0.51184,1,1
0.59113,0.59113,1,1,0.59113,0.59113,1
0.61038,0.68513,0.68513,0.68513,0.61038,0.61038,0.61038
1,0.94266,0.94266,0.5838,0.5838,0.5838,1
0.64725,0.79602,0.64725,0.79602,0.64725,0.79602,0.64725
0.97442,1,0.97442,1,0.97442,1,1
1,1,0.6006,0.6006,1,0.6006,0.6006
0.42164,0.94266,0.94266,0.42164,0.42164,0.42164,0.42164
0.85016,1,0.85016,1,1,0.85016,1
0.44069,0.44069,0.44069,1,0.44069,0.44069,0.44069
0.77947,0.77947,0.44851,0.77947,0.44851,0.44851,0.44851
1,1,0.91498,1,0.91498,0.91498,1
0.58537,0.81328,0.58537,0.58537,0.81328,0.58537,0.81328
1,0.64725,0.64725,1,0.64725,1,0.64725
0.80456,0.80456,0.81328,1,0.81328,0.80456,0.81328
0.72661,0.80456,0.80456,0.72661,1,0.72661,0.80456
0.67039,1,0.67039,1,1,0.67039,0.67039
1,1,0.61038,1,0.61038,0.61038,0.61038
1,1,1,1,1,1,1
0.59583,0.59583,0.59583,1,0.59583,1,1
1,1,0.57307,1,0.57307,0.57307,0.57307
1,1,1,0.90124,1,0.90124,0.90124
0.79234,0.72661,0.94266,0.72661,0.79234,0.72661,0.94266
1,0.60256,1,1,0.60256,1,0.60256
0.59583,0.93494,0.59583,0.93494,0.59583,0.93494,0.59583
1,0.76825,0.76825,1,1,0.76825,0.76825
0.47403,1,1,0.47403,0.47403,1,0.47403
1,0.50293,1,1,0.50293,0.50293,0.50293
0.65041,0.65041,0.98725,0.98725,0.65041,0.98725,1
0.77947,0.99256,0.77947,0.77947,0.99256,1,1
1,0.65041,0.81328,0.81328,0.65041,0.65041,0.81328
1,0.50293,0.50293,0.50293,1,1,0.50293
1,0.96192,0.96192,1,1,0.96192,1
0.80456,0.80456,0.45784,0.45784,0.45784,0.80456,1
1,1,1,0.55736,0.55736,0.55736,1
0.65041,0.65041,0.61038,0.61038,0.65041,0.61038,0.61038
0.73801,1,0.73801,1,0.73801,0.73801,1
1,0.36036,0.36036,0.36036,0.36036,1,0.36036
1,0.61744,1,0.61744,0.61744,1,1
0.45671,0.45671,0.45671,0.75591,0.45671,0.75591,0.75591
0.62565,0.62565,0.62565,0.90124,0.62565,0.90124,0.90124
1,1,0.96192,0.96192,0.96192,1,1
1,0.70609,0.70609,0.90124,0.70609,0.90124,0.90124
0.84063,1,1,0.84063,1,1,0.84063
1,0.72202,1,0.72202,1,0.72202,0.72202
1,0.70609,0.70609,0.94266,0.70609,0.94266,1
1,0.40657,0.40657,0.40657,0.40657,1,1
1,0.77947,0.77947,1,0.77947,1,1
0.52242,1,0.52242,0.79602,0.52242,0.79602,0.79602
1,0.45671,0.45671,1,0.45671,0.45671,1
0.89686,0.89686,1,1,1,0.89686,0.89686
1,1,1,0.55736,0.55736,0.55736,1
0.58083,0.58083,0.58083,0.58083,1,1,1
0.81328,0.74836,0.74836,0.74836,0.81328,1,0.81328
0.94675,0.81328,1,0.94675,0.81328,0.94675,0.81328
0.96192,1,0.96192,1,1,0.96192,1
0.65041,0.65041,1,1,0.65041,1,1
1,0.51881,0.51881,1,0.51881,1,1
0.69144,0.74836,0.69144,0.69144,0.74836,0.74836,1
0.93494,0.93494,1,0.93494,1,1,1
1,0.74836,0.74836,0.74836,0.94266,0.94266,1
1,0.5168,0.5168,0.5168,0.5168,1,1
0.84063,0.84063,0.84063,0.84063,1,0.84063,0.84063
0.75591,0.75591,0.75591,0.90124,1,0.90124,0.90124
0.80456,0.80456,0.61744,0.61744,0.61744,0.80456,1
0.84063,0.84063,1,0.84063,0.94266,0.94266,1
1,1,0.3621,0.3621,0.3621,0.3621,0.3621
0.97442,0.72661,0.97442,0.72661,0.97442,0.72661,1
1,0.49495,0.49495,0.49495,0.49495,0.49495,1
1,0.76677,1,0.55736,0.55736,0.55736,0.76677
0.37606,0.37606,0.37606,0.37606,0.37606,0.37606,1
0.84063,0.84063,0.84063,0.63847,0.63847,1,0.63847
0.3992,0.3992,0.3992,1,0.3992,1,0.3992
0.52242,0.6124,0.52242,1,0.52242,0.6124,0.6124
0.79234,1,0.61038,0.61038,0.79234,0.61038,0.61038
1,0.89054,1,0.89054,1,1,0.89054
1,0.55325,1,0.55325,0.55325,1,1
1,1,0.59113,0.59113,0.59113,1,0.59113
1,0.62048,1,0.62048,0.62048,0.62048,1
1,1,0.91498,1,0.91498,0.91498,1
0.73801,0.73801,0.73801,1,1,0.73801,1
0.64725,0.64725,1,1,0.64725,1,0.64725
1,0.61744,1,0.61744,0.61744,1,1
0.64725,0.79602,0.64725,0.79602,0.64725,0.79602,0.64725
0.60545,0.60545,0.60545,0.76677,0.76677,0.60545,1
0.59113,0.63308,0.59113,0.63308,0.59113,0.59113,0.63308
0.42667,1,0.42667,0.42667,0.42667,0.42667,1
1,0.55325,1,0.55325,0.55325,1,1
1,0.53144,1,0.53144,0.53144,1,0.53144
0.90124,0.77947,0.77947,0.90124,0.77947,1,0.90124
0.60713,0.60713,1,0.60713,1,0.60713,0.60713
1,0.89054,0.91498,0.89054,0.91498,0.91498,0.89054
0.45671,0.45671,0.45671,0.79602,0.45671,0.79602,0.79602
0.76825,1,0.76825,1,1,0.76825,0.76825
0.76825,0.99256,0.76825,1,0.99256,0.76825,0.76825
1,0.70609,0.70609,1,0.70609,1,1
0.63391,1,1,1,0.63391,1,0.63391
0.55736,1,1,0.55736,0.55736,1,1
0.78766,1,1,1,0.78766,1,0.78766
0.58083,0.58083,0.58083,0.58083,1,1,1
1,0.58083,0.58083,0.58083,1,0.58083,1
0.60545,1,0.60545,0.65271,0.65271,0.60545,0.60545
1,0.58083,0.58083,0.58083,1,0.58083,1
0.65862,0.65862,0.50826,0.65862,0.50826,0.65862,0.50826
0.78766,1,1,1,0.78766,1,0.78766
0.73801,0.73801,0.73801,0.54127,0.54127,0.73801,0.54127
1,1,1,0.63847,0.63847,1,0.63847
0.59113,0.59113,0.50826,0.59113,0.50826,0.59113,0.50826
0.93494,0.93494,1,0.93494,0.74836,0.74836,0.74836
0.77947,0.77947,0.71964,1,0.77947,0.71964,0.71964
0.79234,0.76677,0.72661,0.72661,0.79234,0.72661,0.76677
1,1,1,0.50633,0.50633,0.50633,0.50633
1,0.76677,0.52242,1,0.52242,0.52242,0.76677
0.62565,0.62565,1,1,0.62565,0.62565,1
0.82759,0.82759,0.82759,1,1,1,0.82759
0.50633,0.50633,0.50633,0.65271,0.65271,1,0.50633
0.72202,0.72202,0.72661,0.72202,0.72661,0.72661,0.72202
0.72904,0.77947,0.77947,0.72904,0.77947,0.72904,0.72904
0.77947,0.77947,1,1,0.77947,1,1
1,1,1,0.65271,0.65271,1,1
1,1,1,1,1,1,1
0.51184,0.51184,0.51184,0.51184,0.51184,1,1
1,0.94266,0.94266,0.50633,0.50633,0.50633,0.50633
1,0.63308,1,0.63308,0.94266,0.94266,0.63308
1,1,0.72661,0.72661,0.76022,0.72661,0.76022
0.78766,0.96192,0.96192,1,0.78766,0.96192,0.78766
0.79234,0.43158,0.43158,0.43158,0.79234,0.43158,0.43158
0.77947,0.77947,0.6006,0.6006,0.77947,0.6006,0.6006
1,0.45515,0.45515,0.45515,0.45515,1,0.45515
0.81328,1,0.81328,1,1,1,0.81328
1,0.5168,1,0.5168,0.5168,1,0.5168
0.80456,0.77947,0.77947,1,0.77947,0.80456,0.80456
0.41929,0.41929,1,0.41929,0.41929,1,0.41929
0.96192,1,0.96192,0.54127,0.54127,0.96192,0.54127
0.69144,0.60256,0.69144,0.69144,0.60256,1,0.60256
0.58083,0.58083,0.58083,0.58083,1,1,1
0.93494,0.93494,0.71964,0.93494,1,0.71964,0.71964
1,0.6286,1,1,0.6286,1,0.6286
1,0.72202,1,0.72202,1,0.72202,0.72202
1,0.78406,0.72661,0.72661,0.78406,0.72661,1
1,0.55325,1,0.55325,0.55325,1,1
0.72202,0.72202,1,0.72202,1,1,0.72202
0.42911,0.42911,0.42911,1,0.42911,1,0.42911
0.4909,0.4909,0.4909,0.4909,1,1,0.4909
0.45515,1,0.45515,0.45515,0.45515,1,0.45515
0.96192,0.96192,0.45784,0.45784,0.45784,0.96192,1
1,1,0.61744,0.61744,0.61744,1,1
1,1,1,1,1,1,1
1,1,1,0.54127,0.54127,1,0.54127
0.82759,0.82759,0.82759,1,1,1,0.82759
0.64725,0.64725,0.69144,0.69144,0.64725,0.69144,0.64725
0.60545,0.60545,0.60545,0.63847,0.63847,0.60545,0.63847
0.63847,0.63847,1,1,1,1,0.63847
0.75591,0.75591,0.75591,0.76677,0.76677,1,1
0.97442,0.61038,0.97442,0.61038,0.97442,0.61038,0.61038
0.77947,0.77947,1,0.77947,1,1,1
1,0.59113,0.59113,0.59113,0.59113,1,1
1,1,0.40007,0.40007,0.40007,1,0.40007
0.76825,0.76825,1,0.65271,0.65271,0.76825,0.76825
0.55736,0.76677,1,0.55736,0.55736,1,0.76677
0.79234,1,0.98725,0.98725,0.79234,0.98725,1
0.60545,1,0.60545,1,1,0.60545,0.60545
1,1,1,1,1,1,1
0.45671,0.45671,0.45671,1,0.45671,1,1
1,0.62048,1,0.62048,0.62048,0.62048,1
1,0.61038,1,1,0.61038,0.61038,0.61038
1,0.71964,0.71964,0.76677,0.76677,0.71964,1
0.61038,0.70609,0.70609,0.61038,0.70609,0.61038,0.61038
1,1,0.50826,1,0.50826,1,0.50826
0.55736,0.76825,0.76825,0.55736,0.55736,0.76825,0.76825
1,0.50293,1,1,0.50293,0.50293,0.50293
1,0.40657,0.40657,0.40657,0.40657,1,1
1,0.80456,0.80456,0.94266,1,0.94266,0.80456
0.62565,0.62565,1,1,0.62565,0.62565,1
0.73801,0.73801,0.73801,0.54127,0.54127,0.73801,0.54127
0.78766,1,0.72661,0.72661,0.78766,0.72661,0.78766
0.77947,0.77947,1,0.77947,1,1,1
1,0.74836,0.74836,0.74836,0.79234,0.79234,1
0.44069,0.44069,0.44069,0.44069,1,0.44069,0.44069
0.40134,1,0.40134,1,0.40134,0.40134,0.40134
0.75591,0.75591,0.75591,0.54127,0.54127,1,0.54127
0.51184,0.51184,1,1,0.51184,0.51184,0.51184
0.5041,0.5041,0.5041,0.5041,1,0.5041,1
0.52038,0.52038,1,1,0.52038,1,0.52038
0.72661,0.63308,1,0.63308,0.72661,0.72661,0.63308
0.52038,0.52038,1,1,0.52038,1,0.52038
0.64725,1,0.64725,1,0.64725,1,0.64725
0.30311,0.30311,0.30311,0.30311,0.30311,0.30311,0.30311
1,1,1,1,0.79234,0.79234,1
0.76825,0.76825,1,1,1,0.76825,0.76825
0.81328,1,0.81328,0.5838,0.5838,0.5838,0.81328
1,0.77947,0.77947,0.77947,0.79234,0.79234,1
1,1,0.40007,0.40007,0.40007,1,0.40007
0.39801,0.39801,0.39801,0.39801,0.39801,1,0.39801
1,0.44585,0.44585,1,0.44585,1,0.44585
1,0.81328,1,1,0.81328,1,0.81328
1,1,1,0.63847,0.63847,1,0.63847
0.5168,1,0.5168,0.5168,0.5168,1,1
1,0.41929,1,0.41929,0.41929,0.41929,0.41929
0.72661,1,0.66685,0.66685,0.72661,0.72661,0.66685
0.49302,0.94266,0.94266,0.49302,0.49302,0.49302,1
1,0.55325,0.71964,0.55325,0.55325,0.71964,0.71964
0.60545,0.60545,0.60545,0.65271,0.65271,0.60545,1
0.73801,0.73801,0.73801,1,1,0.73801,1
1,1,1,1,1,1,1
1,0.65041,0.94266,1,0.65041,0.65041,0.94266
1,1,0.84448,0.84448,0.75591,0.75591,0.75591
1,0.6124,0.61744,0.61744,0.61744,0.6124,0.6124
1,0.93494,1,0.93494,1,0.93494,1
0.81328,1,1,1,0.81328,1,0.81328
0.80456,1,0.6053,1,0.6053,0.80456,0.80456
0.65862,0.51881,0.51881,0.65862,0.51881,0.65862,0.65862
0.69144,0.99256,0.69144,0.69144,0.99256,1,1
1,1,0.57307,1,0.57307,0.57307,0.57307
0.63391,0.71964,0.71964,1,0.63391,0.71964,0.63391
0.36923,1,0.36923,0.36923,0.36923,0.36923,1
1,0.42667,0.42667,0.42667,0.42667,0.42667,1
0.94675,1,0.70609,0.94675,0.70609,0.94675,0.70609
0.79234,0.94266,0.94266,0.75591,0.79234,0.75591,0.75591
0.33072,1,0.33072,0.33072,0.33072,0.33072,0.33072
0.90124,1,0.72661,0.90124,0.72661,0.72661,0.90124
1,0.6006,0.6006,0.6006,1,0.6006,1
0.4366,1,1,0.4366,0.4366,0.4366,0.4366
0.45671,0.45671,0.45671,0.79602,0.45671,0.79602,0.79602
1,0.59113,0.59113,0.59113,1,0.59113,1
1,0.79602,0.50826,0.79602,0.50826,0.79602,0.50826
0.45671,0.45671,0.45671,0.79602,0.45671,0.79602,0.79602
0.72661,0.56338,0.56338,0.56338,0.72661,0.72661,0.56338
1,1,1,0.65271,0.65271,1,1
1,0.58083,0.58083,0.58083,1,0.58083,1
0.63391,0.74836,0.74836,0.74836,0.63391,1,0.63391
0.80456,1,1,1,1,0.80456,0.80456
1,0.60256,0.84448,0.84448,0.60256,1,0.60256
0.89686,0.89686,0.61744,0.61744,0.61744,0.89686,0.89686
1,1,1,1,1,1,1
0.65862,0.65862,0.50826,0.65862,0.50826,0.65862,0.50826
0.89686,0.89686,1,0.76677,0.76677,0.89686,0.89686
1,1,1,0.77947,0.77947,1,0.77947
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.48632,0.5838,0.5838,0.48632,0.48632,0.48632,0.5838
1,0.72661,0.6053,0.72661,0.6053,0.72661,1
0.89686,0.89686,1,1,1,0.89686,0.89686
0.94675,0.81328,1,0.94675,0.81328,0.94675,0.81328
0.63847,0.63847,0.6053,0.94266,0.6053,0.94266,0.63847
1,0.89054,1,0.89054,0.94266,0.94266,0.89054
1,1,0.49495,0.49495,0.49495,0.49495,0.49495
1,0.70609,0.70609,0.75591,0.70609,0.75591,0.75591
0.44069,0.44069,0.44069,1,0.44069,0.44069,0.44069
0.64725,1,1,0.64725,0.64725,1,0.64725
1,0.40657,0.40657,0.40657,0.40657,1,1
0.85016,1,0.85016,0.63847,0.63847,0.85016,0.63847
0.89686,0.89686,1,0.76677,0.76677,0.89686,0.89686
0.47403,1,1,0.47403,0.47403,1,0.47403
1,0.89054,1,0.89054,0.94266,0.94266,0.89054
0.51184,0.51184,0.51184,0.51184,0.51184,1,1
